,phrase,label,sentiment,subjectivity,language,count
Leopard 2.,Leopard 2.,MISC,,,de,5
Europäische,Europäische,MISC,,,de,5
Frieden in der Ukraine,Frieden in der Ukraine,MISC,,,de,5
SZ am Morgen,SZ am Morgen,MISC,,,de,5
rheinland-pfälzische,rheinland-pfälzische,MISC,,,de,5
indischen,indischen,MISC,,,de,5
S&P 500,S&P 500,MISC,,,de,5
Wiener,Wiener,MISC,,,de,5
Europäischer,Europäischer,MISC,,,de,5
Russischen,Russischen,MISC,,,de,5
C,C,MISC,,,de,5
EU-weite,EU-weite,MISC,,,de,5
Bitcoin-Blog,Bitcoin-Blog,MISC,,,de,5
brasilianischen,brasilianischen,MISC,,,de,5
Ukraine-Konflikts,Ukraine-Konflikts,MISC,,,de,5
Ein Jahr Krieg,Ein Jahr Krieg,MISC,,,de,5
Energienetz,Energienetz,MISC,,,de,5
Pandemie,Pandemie,MISC,,,de,5
Nacht zum Sonntag,Nacht zum Sonntag,MISC,,,de,5
Der Schweizer Botschafter in,Der Schweizer Botschafter in,MISC,,,de,5
Ministerpräsidenten-Konferenz,Ministerpräsidenten-Konferenz,MISC,,,de,5
Angriff von Überwasserdrohne,Angriff von Überwasserdrohne,MISC,,,de,5
Nacht im Krieg,Nacht im Krieg,MISC,,,de,5
Pulitzer-Preise,Pulitzer-Preise,MISC,,,de,5
dänische,dänische,MISC,,,de,5
Kämpfe in Sudan,Kämpfe in Sudan,MISC,,,de,5
OpenAI,OpenAI,MISC,,,de,5
Neptune,Neptune,MISC,,,de,5
Teuer-Winter,Teuer-Winter,MISC,,,de,5
Aktion,Aktion,MISC,,,de,5
Getreide-Abkommen,Getreide-Abkommen,MISC,,,de,5
RSF-Miliz,RSF-Miliz,MISC,,,de,5
Die Ukraine,Die Ukraine,MISC,,,de,5
TTF,TTF,MISC,,,de,5
Höchste Zeit,Höchste Zeit,MISC,,,de,5
niederländischen,niederländischen,MISC,,,de,5
LNG,LNG,MISC,,,de,5
Manifest für Frieden,Manifest für Frieden,MISC,,,de,5
Midterms,Midterms,MISC,-0.30000000000000004,0.0,de,5
Kölner,Kölner,MISC,,,de,5
KI,KI,MISC,,,de,5
WELT Nachrichtensender,WELT Nachrichtensender,MISC,,,de,5
griechischen,griechischen,MISC,,,de,5
Leopard-2-Kampfpanzer,Leopard-2-Kampfpanzer,MISC,,,de,5
Garmin Instinct 2X Solar,Garmin Instinct 2X Solar,MISC,,,de,4
Gasleck,Gasleck,MISC,0.0,0.0,de-DE,4
Treffen der großen Industrienationen,Treffen der großen Industrienationen,MISC,,,de,4
Windkraft-Boom,Windkraft-Boom,MISC,,,de,4
Ein Jahr Ukraine-Krieg,Ein Jahr Ukraine-Krieg,MISC,,,de,4
dänischen,dänischen,MISC,,,de,4
Lange Zeit,Lange Zeit,MISC,,,de,4
Offiziers-Kritik,Offiziers-Kritik,MISC,,,de,4
Ant-Man and the Wasp,Ant-Man and the Wasp,MISC,,,de,4
Caesar“-Haubitzen,Caesar“-Haubitzen,MISC,,,de,4
Massaker von Butscha,Massaker von Butscha,MISC,,,de,4
sudanesische,sudanesische,MISC,,,de,4
Financial Times,Financial Times,MISC,,,de,4
Juden,Juden,MISC,,,de,4
Doppel-Wumms,Doppel-Wumms,MISC,,,de,4
Fußball-WM in Katar,Fußball-WM in Katar,MISC,,,de,4
SolarFlow,SolarFlow,MISC,,,de,4
schwäbische,schwäbische,MISC,,,de,4
Schlacht um Soledar,Schlacht um Soledar,MISC,,,de,4
9PUNKT,9PUNKT,MISC,,,de,4
Friedensnobelpreis,Friedensnobelpreis,MISC,,,de,4
russische Angriffskrieg auf die Ukraine,russische Angriffskrieg auf die Ukraine,MISC,,,de,4
Bürgerkriegs in dem Land,Bürgerkriegs in dem Land,MISC,,,de,4
islamischen,islamischen,MISC,,,de,4
New-Start-Vertrag,New-Start-Vertrag,MISC,,,de,4
Befreiung,Befreiung,MISC,,,de,4
Angriff auf Flugplatz,Angriff auf Flugplatz,MISC,,,de,4
Xbox Series X,Xbox Series X,MISC,,,de,4
Russischer Truppenverband,Russischer Truppenverband,MISC,,,de,4
Wende,Wende,MISC,,,de,4
Challenger 2,Challenger 2,MISC,,,de,4
irakischen,irakischen,MISC,,,de,4
Kabinett,Kabinett,MISC,,,de,4
Ukrainekrieg +++,Ukrainekrieg +++,MISC,,,de,4
Blitzkrieg,Blitzkrieg,MISC,,,de,4
Gasspeicher-Füllstand knackt 100-Prozent-Marke,Gasspeicher-Füllstand knackt 100-Prozent-Marke,MISC,,,de,4
Olympischen Spielen,Olympischen Spielen,MISC,,,de,4
EZB-Chefvolkswirt,EZB-Chefvolkswirt,MISC,,,de,4
Tag der Arbeit,Tag der Arbeit,MISC,,,de,4
letzten Jahr,letzten Jahr,MISC,,,de,4
Dortmunder,Dortmunder,MISC,,,de,4
Zelda,Zelda,MISC,,,de,4
Muttertag,Muttertag,MISC,,,de,4
Gewalt gegen Frauen,Gewalt gegen Frauen,MISC,,,de,4
Sehe,Sehe,MISC,,,de,4
Der schwarze Kanal,Der schwarze Kanal,MISC,,,de,4
Überfall Russlands auf die,Überfall Russlands auf die,MISC,,,de,4
Leopard-Lieferung,Leopard-Lieferung,MISC,,,de,4
Reise nach,Reise nach,MISC,,,de,4
Weihnachtszeit,Weihnachtszeit,MISC,,,de,4
Qedertek,Qedertek,MISC,,,de,4
Eur,Eur,MISC,,,de,4
chinesisches,chinesisches,MISC,,,de,4
